"Year","Diver","Date","SiteDetails.Recorder","Measurement.Processors","Site.ID","bay.side","Quadrat","SH","SL","SW","Species","Common.Name","Count","Quadrat.size","Notes"
2012,"DNK",2012-06-01,"DNK","DNK","SGV 48","W",1,45,46,31,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 60","W",2,73,0,39,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 61","W",1,88,0,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 61","W",1,59,0,31,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 61","W",1,59,0,29,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 62","W",1,78,0,48,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 63","W",1,53,0,26,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 63","W",2,35,0,19,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 63","W",2,60,0,32,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 63","W",2,49,0,24,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 65","W",1,61,0,36,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 65","W",2,99,0,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 66","W",2,72,81,41,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 67","W",1,88,103,55,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 67","W",1,60,77,40,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 67","W",1,45,58,31,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 68","W",1,89,0,45,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 69","W",2,96,0,53,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",1,54,0,30,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",1,54,0,27,"Mercenaria mercenaria","Hard Clam",1,1,NA
2012,"DNK",2012-06-01,"DNK","DNK","SGV 70","W",1,67,0,34,"Mercenaria mercenaria","Hard Clam",1,1,NA
