"Datasheet.Order","Year","Date","Diver","SiteDetails.Recorder","Measurement.Processors","Site.ID","bay.side","Quadrat","Temperature","Salinity","Sediment.Type","Habitat.Type","%Seagrass","%Macroalgae","Seagrass.in.Area?","Quadrat.Size","Notes","Overall.Notes"
1,2012,2012-06-01,"DNK","DNK","DNK","SGV 47","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"400 feet away bc boat on spot, mussels, starfish, rock, spider, lady and mud crabs","8/7/14: did not use a quadrat, as the quadrat we brought had a net (and it was low tide)"
2,2012,2012-06-01,"DNK","DNK","DNK","SGV 47","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"400 feet away bc boat on spot, mussels, starfish, rock, spider, lady and mud crabs","All seagrass sites, was hard to get the suction dredge in"
3,2012,2012-06-01,"DNK","DNK","DNK","SGV 48","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,"lady crabs, mussels","6/26/15: did not take YSI + we did not use a quadrate for any of the surveys in '15"
4,2012,2012-06-01,"DNK","DNK","DNK","SGV 48","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,"lady crabs, mussels","2015: Amber's Site= SGV CG 4"
5,2012,2012-06-01,"DNK","DNK","DNK","SGV 49","W",1,"DNK","DNK","DNK","SH",0,0,"N",1,NA,"2015: CG= coast guard, seagrass along the north shore; LS=Landscape Laboratory; COR=cormorant point; WI=warner's island;FP=Far Pond; SAND=sandbar by inlet"
6,2012,2012-06-01,"DNK","DNK","DNK","SGV 49","W",2,"DNK","DNK","DNK","SH",0,0,"N",1,NA,"2014/2015: 75.5, is the new 75 because 75 is now in the middle of the channel, and it was dangerous"
7,2012,2012-06-01,"DNK","DNK","DNK","SGV 60","W",1,"DNK","DNK","DNK","SF",0,0,"DNK",1,"caught a croaker","2014: 72.5 was because 72 was in really shallow water, and did not want to get marooned (is right by dockers on the sandbar)"
8,2012,2012-06-01,"DNK","DNK","DNK","SGV 60","W",2,"DNK","DNK","DNK","SF",0,0,"DNK",1,"caught a croaker","2015: 61.5 was because it was too shallow to access 61 (at the mouth of Penniman Creek on the south shore)"
9,2012,2012-06-01,"DNK","DNK","DNK","SGV 61","W",1,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,"2016: SGV 92 Q1 and SGV 93 Q2 were both frozen and the sites were not recorded properly on the sheet when fauna processing occured, so do not know which is which.  Removing both quadrates from final summary tables"
10,2012,2012-06-01,"DNK","DNK","DNK","SGV 61","W",2,"DNK","DNK","DNK","MF",0,0,"DNK",1,NA,NA
