"Year","Site.ID","Mean.m2"
2012,"SGV 47",0
2012,"SGV 48",0
2012,"SGV 49",0
2012,"SGV 60",0
2012,"SGV 61",0
2012,"SGV 62",0
2012,"SGV 63",1
2012,"SGV 64",0
2012,"SGV 65",0
2012,"SGV 66",0
2012,"SGV 67",0
2012,"SGV 68",0
2012,"SGV 69",0
2012,"SGV 70",0
2012,"SGV 71",0
2012,"SGV 72",0
2012,"SGV 73",0
2012,"SGV 74",0
2012,"SGV 75",0
2012,"SGV 76",0
2012,"SGV 77",0.5
2012,"SGV 78",0
2012,"SGV 79",0
2012,"SGV 80",0.5
2012,"SGV 81",0.5
2012,"SGV 82",0
2012,"SGV 83",0
2012,"SGV 84",0
2012,"SGV 85",0
2012,"SGV 86",0
2012,"SGV 87",0
2012,"SGV 88",0
2012,"SGV 89",0
2012,"SGV 90",0.5
2012,"SGV 91",0
2012,"SGV 92",0
2012,"SGV 93",0
2012,"SGV 94",0
2012,"SGV 95",0
2014,"SGV 47",0
2014,"SGV 48",0
2014,"SGV 49",0
2014,"SGV 60",0
2014,"SGV 61",0
2014,"SGV 62",0
2014,"SGV 63",0
2014,"SGV 64",0
2014,"SGV 65",0
2014,"SGV 66",0
2014,"SGV 67",0
2014,"SGV 68",0
2014,"SGV 69",0
2014,"SGV 70",0
2014,"SGV 71",0
2014,"SGV 72.5",0
2014,"SGV 73",0
2014,"SGV 74",0
2014,"SGV 75.5",0
2014,"SGV 76",0
2014,"SGV 77",0.5
2014,"SGV 78",0
2014,"SGV 79",0
2014,"SGV 80",0
2014,"SGV 81",0.5
2014,"SGV 82",0
2014,"SGV 83",0
2014,"SGV 84",0
2014,"SGV 85",0
2014,"SGV 86",0
2014,"SGV 87",0
2014,"SGV 88",0
2014,"SGV 89",0
2014,"SGV 90",0.5
2014,"SGV 91",0
2014,"SGV 92",0
2014,"SGV 93",0
2014,"SGV 94",0
2014,"SGV 95",0
2015,"SGV 47",0
2015,"SGV 48",0.5
2015,"SGV 49",0
2015,"SGV 60",0
2015,"SGV 61.5",0
2015,"SGV 62",0
2015,"SGV 63",0
2015,"SGV 64",0
2015,"SGV 65",0
2015,"SGV 66",0
2015,"SGV 67",0
2015,"SGV 68",0
2015,"SGV 69",0
2015,"SGV 70",0
2015,"SGV 71",0
2015,"SGV 72",0
2015,"SGV 73",0
2015,"SGV 74",0
2015,"SGV 75.5",0
2015,"SGV 76",0.5
2015,"SGV 77",0
2015,"SGV 78",1
2015,"SGV 79",0
2015,"SGV 80",0
2015,"SGV 81",0
2015,"SGV 82",0
2015,"SGV 83",0
2015,"SGV 84",0
2015,"SGV 85",0
2015,"SGV 86",0
2015,"SGV 87",0
2015,"SGV 88",0
2015,"SGV 89",0
2015,"SGV 90",0
2015,"SGV 91",0
2015,"SGV 92",0
2015,"SGV 93",0
2015,"SGV 94",0
2015,"SGV 95",0
2015,"SGV CG1",0
2015,"SGV CG2",0
2015,"SGV CG3",1
2015,"SGV CG4",0
2015,"SGV COR",0
2015,"SGV FP",0
2015,"SGV LS1",0
2015,"SGV LS2",0
2015,"SGV LS3",0
2015,"SGV LS4",0
2015,"SGV SAND",0
2015,"SGV WI",0
2016,"SGV 47",0
2016,"SGV 48",0.5
2016,"SGV 49",1
2016,"SGV 60",0
2016,"SGV 61",0
2016,"SGV 62",0
2016,"SGV 63",0
2016,"SGV 64",0
2016,"SGV 65",0
2016,"SGV 66",0
2016,"SGV 67",0
