"Site.ID","n.m2"
"SGV 47",2
"SGV 48",0.5
"SGV 49",2
"SGV 62",0
"SGV 69",0.5
"SGV 70",1.5
"SGV 71",1.5
"SGV 75",0.5
"SGV 77",0.5
"SGV 79",1
"SGV 80",1
"SGV 85",2
"SGV 86",1
"SGV 90",0
"SGV 91",0.5
"SGV 96",1
"SGV AD1",0.5
"SGV AD10",1
"SGV AD11",0
"SGV AD12",0
"SGV AD13",1.5
"SGV AD14",0.5
"SGV AD15",0
"SGV AD16",0
"SGV AD17",0
"SGV AD18",2
"SGV AD19",0
"SGV AD2",0.5
"SGV AD20",0
"SGV AD21",0.5
"SGV AD22",0
"SGV AD23",0
"SGV AD24",0.5
"SGV AD27",0.5
"SGV AD3",0.5
"SGV AD4",0.5
"SGV AD5",2.5
"SGV AD6",3
"SGV AD7",0
"SGV AD8",2.5
"SGV AD9",0
"SGV CG1",1
"SGV CG2",2
"SGV CG3",2
"SGV CG4",0
"SGV COR",0
"SGV FP",2
"SGV LS1",6
"SGV LS2",0
"SGV LS3",1
"SGV LS4",0
"SGV SAND",2
"SGV SU1",0
"SGV SU2",0
"SGV SU4",0
"SGV SU5",2
"SGV SU6",1
"SGV SU7",0.5
"SGV SU8",0
"SGV WI",3.5
